# Size	cyclic	1_value	all_value
2 3.171e-04 2.308e-04 2.036e-04
3 3.678e-03 1.743e-03 2.709e-03
4 2.007e-02 1.855e-02 2.094e-02
5 5.721e-02 4.093e-02 6.251e-02
6 1.508e-01 3.925e-02 1.193e-01
7 3.690e-01 1.585e-01 3.186e-01
8 7.599e-01 1.431e-01 7.213e-01
9 1.300e+00 3.877e-01 1.233e+00
10 2.340e+00 6.691e-01 1.859e+00
11 3.687e+00 4.770e-01 2.363e+00
12 5.669e+00 6.737e-01 7.513e+00
13 8.965e+00 1.134e+00 6.237e+00
14 1.294e+01 1.960e+00 9.256e+00
15 1.827e+01 3.440e+00 3.172e+01
16 2.649e+01 4.822e+00 1.751e+01
17 3.559e+01 5.925e+00 2.259e+01
18 4.868e+01 3.546e+00 2.999e+01
19 6.776e+01 5.830e+00 5.305e+01
